"number","short_description","priority","cmdb_ci","sys_created_on","description","assigned_to","assignment_group","state","resolved_at","problem_id","category","subcategory","u_issue","caller_id","close_notes","work_notes","contact_type","u_aging","u_aging_category","close_code","u_resolution_code","u_action_code","u_caused_by_change","u_impacted_applications","caused_by","u_actual_elapsed_time","u_applications_impacted","comments"
"INC10072","ETL job failure","2 - High","Customer DB","46087.524305555555","Auto generated incident for monitoring/testing dataset","Deepa N","Integration Team","Resolved","46087.84305555555","PRB20072","Access","Validation","Error Message","Monitoring System","Issue resolved after investigation","Logs checked and remediation performed","Email","1.0","0-5 Days","Solution provided","Resolved by Troubleshooting","Restart pipeline","No","Data Pipeline","API","12703.0","Yes","Auto generated sample comment"
"INC10073","UI slow loading","1 - Critical","Payment Service","46087.59930555556","Auto generated incident for monitoring/testing dataset","Meena R","Integration Team","Resolved","46087.83819444444","PRB20073","Access","Jobs","Timeout","User","Issue resolved after investigation","Logs checked and remediation performed","Email","0.0","0-5 Days","Solution provided","Re-run Job","Clear cache","Yes","Notification Service","Database","15022.0","No","Auto generated sample comment"
"INC10074","ETL job failure","4 - Low","Customer Portal","46085.93125","Auto generated incident for monitoring/testing dataset","Ajay T","DB Team","Resolved","46086.0","PRB20074","Integration","Validation","Crash","User","Issue resolved after investigation","Logs checked and remediation performed","Web","2.0","0-5 Days","No resolution provided","Monitoring","Restart pipeline","No","Payment Service","API","2002.0","Yes","Auto generated sample comment"
"INC10075","Database timeout","3 - Moderate","Auth Service","46085.9875","Auto generated incident for monitoring/testing dataset","Karthik P","App Support","Resolved","46086.14791666667","PRB20075","Data","Jobs","Latency","User","Issue resolved after investigation","Logs checked and remediation performed","Monitoring","1.0","0-5 Days","Solution provided","Resolved by Troubleshooting","Clear cache","No","Data Pipeline","Cache","15367.0","Yes","Auto generated sample comment"
"INC10076","Login issue","1 - Critical","Customer Portal","46092.78888888889","Auto generated incident for monitoring/testing dataset","Karthik P","App Support","Resolved","46092.91111111111","PRB20076","Infrastructure","Performance","Crash","Guest","Issue resolved after investigation","Logs checked and remediation performed","Email","3.0","0-5 Days","No resolution provided","User Correction","Reset password","No","Customer Portal","ETL Job","2091.0","Yes","Auto generated sample comment"
"INC10077","UI slow loading","3 - Moderate","Data Pipeline","46087.154861111114","Auto generated incident for monitoring/testing dataset","Priya M","App Support","Resolved","46087.2875","PRB20077","Access","Performance","Crash","User","Issue resolved after investigation","Logs checked and remediation performed","Web","2.0","0-5 Days","Solution provided","Monitoring","Restart pipeline","Yes","Customer Portal","Cache","2822.0","Yes","Auto generated sample comment"
"INC10078","API latency alert","2 - High","API Gateway","46091.70347222222","Auto generated incident for monitoring/testing dataset","Arjun K","Data Engineering","Resolved","46091.73888888889","PRB20078","Data","Performance","Failure","PagerDuty","Issue resolved after investigation","Logs checked and remediation performed","Web","3.0","0-5 Days","Solution provided","Re-run Job","Restart pipeline","No","Notification Service","API","11721.0","Yes","Auto generated sample comment"
"INC10079","Email delay","1 - Critical","Customer Portal","46091.35486111111","Auto generated incident for monitoring/testing dataset","Priya M","Web Team","Resolved","46091.45347222222","PRB20079","Data","Performance","Error Message","Monitoring System","Issue resolved after investigation","Logs checked and remediation performed","Phone","3.0","0-5 Days","No resolution provided","User Correction","Re-run job","No","Customer Portal","Database","16055.0","No","Auto generated sample comment"
"INC10080","ETL job failure","3 - Moderate","Data Pipeline","46087.399305555555","Auto generated incident for monitoring/testing dataset","Karthik P","Web Team","Resolved","46087.709027777775","PRB20080","Infrastructure","Validation","Latency","Guest","Issue resolved after investigation","Logs checked and remediation performed","Monitoring","1.0","0-5 Days","Solution provided","Monitoring","Re-run job","No","API Gateway","Queue","6434.0","Yes","Auto generated sample comment"
"INC10081","Login issue","1 - Critical","Customer Portal","46086.72083333333","Auto generated incident for monitoring/testing dataset","Arjun K","DB Team","Resolved","46086.964583333334","PRB20081","Integration","Messaging","Crash","PagerDuty","Issue resolved after investigation","Logs checked and remediation performed","Email","0.0","0-5 Days","No resolution provided","Monitoring","Reset password","Yes","Notification Service","Database","3984.0","Yes","Auto generated sample comment"
"INC10082","API latency alert","3 - Moderate","Auth Service","46095.81180555555","Auto generated incident for monitoring/testing dataset","Priya M","App Support","Resolved","46096.01597222222","PRB20082","Data","Authentication","Delay","Monitoring System","Issue resolved after investigation","Logs checked and remediation performed","Web","0.0","0-5 Days","Known Error","User Correction","Restart service","Yes","Auth Service","Cache","17871.0","No","Auto generated sample comment"
"INC10083","ETL job failure","2 - High","Payment Service","46095.15625","Auto generated incident for monitoring/testing dataset","Rahul S","DB Team","Resolved","46095.32152777778","PRB20083","Application","Sync","Error Message","User","Issue resolved after investigation","Logs checked and remediation performed","Web","1.0","0-5 Days","Known Error","Monitoring","Clear cache","No","API Gateway","ETL Job","1673.0","No","Auto generated sample comment"
"INC10084","Email delay","2 - High","API Gateway","46092.947916666664","Auto generated incident for monitoring/testing dataset","Deepa N","DB Team","Resolved","46093.21388888889","PRB20084","Database","Authentication","Delay","User","Issue resolved after investigation","Logs checked and remediation performed","Monitoring","0.0","0-5 Days","Known Error","Re-run Job","Reset password","No","Notification Service","Database","10406.0","Yes","Auto generated sample comment"
"INC10085","API latency alert","4 - Low","Customer DB","46089.1875","Auto generated incident for monitoring/testing dataset","Ajay T","Service Desk","Resolved","46089.21805555555","PRB20085","Application","Validation","Error Message","Guest","Issue resolved after investigation","Logs checked and remediation performed","Email","3.0","0-5 Days","Known Error","Re-run Job","Clear cache","Yes","Customer Portal","Queue","4433.0","Yes","Auto generated sample comment"
"INC10086","Database timeout","1 - Critical","Customer Portal","46096.066666666666","Auto generated incident for monitoring/testing dataset","Karthik P","App Support","Resolved","46096.275","PRB20086","Integration","Sync","Timeout","Guest","Issue resolved after investigation","Logs checked and remediation performed","Web","2.0","0-5 Days","Known Error","Resolved by Troubleshooting","Reset password","Yes","Customer DB","Cache","8458.0","No","Auto generated sample comment"
"INC10087","API latency alert","3 - Moderate","Customer Portal","46093.763194444444","Auto generated incident for monitoring/testing dataset","Deepa N","Integration Team","Resolved","46093.98402777778","PRB20087","Access","Sync","Failure","Monitoring System","Issue resolved after investigation","Logs checked and remediation performed","Web","0.0","0-5 Days","Known Error","Re-run Job","Clear cache","Yes","Auth Service","Queue","8948.0","Yes","Auto generated sample comment"
"INC10088","API latency alert","1 - Critical","Customer DB","46085.50555555556","Auto generated incident for monitoring/testing dataset","Meena R","Integration Team","Resolved","46085.76527777778","PRB20088","Data","Messaging","Delay","User","Issue resolved after investigation","Logs checked and remediation performed","Email","3.0","0-5 Days","Known Error","Re-run Job","Restart service","No","Customer DB","Database","17590.0","Yes","Auto generated sample comment"
"INC10089","Login issue","1 - Critical","Auth Service","46091.18819444445","Auto generated incident for monitoring/testing dataset","Rahul S","Web Team","Resolved","46091.48055555556","PRB20089","Database","Performance","Crash","PagerDuty","Issue resolved after investigation","Logs checked and remediation performed","Email","0.0","0-5 Days","No resolution provided","Re-run Job","Restart pipeline","No","Payment Service","Database","13939.0","No","Auto generated sample comment"
"INC10090","Database timeout","2 - High","API Gateway","46086.75486111111","Auto generated incident for monitoring/testing dataset","Karthik P","Service Desk","Resolved","46086.93194444444","PRB20090","Access","Sync","Crash","User","Issue resolved after investigation","Logs checked and remediation performed","Phone","2.0","0-5 Days","Solution provided","Resolved by Troubleshooting","Clear cache","No","Payment Service","ETL Job","15805.0","Yes","Auto generated sample comment"
"INC10091","Database timeout","4 - Low","Notification Service","46091.813888888886","Auto generated incident for monitoring/testing dataset","Ajay T","Web Team","Resolved","46092.035416666666","PRB20091","Application","Jobs","Delay","User","Issue resolved after investigation","Logs checked and remediation performed","Email","1.0","0-5 Days","No resolution provided","User Correction","Re-run job","No","Data Pipeline","Database","7165.0","Yes","Auto generated sample comment"
"INC10092","UI slow loading","4 - Low","Data Pipeline","46088.36944444444","Auto generated incident for monitoring/testing dataset","Rahul S","SRE Team","Resolved","46088.455555555556","PRB20092","Integration","Sync","Error Message","User","Issue resolved after investigation","Logs checked and remediation performed","Monitoring","3.0","0-5 Days","Known Error","Monitoring","Reset password","No","Payment Service","ETL Job","7545.0","No","Auto generated sample comment"
"INC10093","API latency alert","4 - Low","Customer Portal","46084.91458333333","Auto generated incident for monitoring/testing dataset","Meena R","Service Desk","Resolved","46085.12013888889","PRB20093","Access","Jobs","Latency","PagerDuty","Issue resolved after investigation","Logs checked and remediation performed","Email","0.0","0-5 Days","No resolution provided","Resolved by Troubleshooting","Restart service","Yes","Auth Service","Database","13894.0","No","Auto generated sample comment"
"INC10094","Database timeout","1 - Critical","Customer Portal","46090.194444444445","Auto generated incident for monitoring/testing dataset","Rahul S","Service Desk","Resolved","46090.46527777778","PRB20094","Application","Messaging","Timeout","PagerDuty","Issue resolved after investigation","Logs checked and remediation performed","Email","3.0","0-5 Days","No resolution provided","User Correction","Restart pipeline","Yes","Notification Service","ETL Job","6683.0","Yes","Auto generated sample comment"
"INC10095","Batch job failure","1 - Critical","Payment Service","46091.24375","Auto generated incident for monitoring/testing dataset","Karthik P","App Support","Resolved","46091.52361111111","PRB20095","Data","Validation","Error Message","Monitoring System","Issue resolved after investigation","Logs checked and remediation performed","Monitoring","1.0","0-5 Days","Known Error","User Correction","Restart service","No","Notification Service","User Action","14325.0","Yes","Auto generated sample comment"
"INC10096","API latency alert","1 - Critical","Payment Service","46084.02222222222","Auto generated incident for monitoring/testing dataset","Karthik P","DB Team","Resolved","46084.24097222222","PRB20096","Application","Validation","Failure","User","Issue resolved after investigation","Logs checked and remediation performed","Web","0.0","0-5 Days","Solution provided","Re-run Job","Reset password","Yes","Data Pipeline","Database","3802.0","No","Auto generated sample comment"
"INC10097","Database timeout","4 - Low","Customer Portal","46084.489583333336","Auto generated incident for monitoring/testing dataset","Ajay T","Integration Team","Resolved","46084.60208333333","PRB20097","Data","Performance","Crash","Guest","Issue resolved after investigation","Logs checked and remediation performed","Monitoring","0.0","0-5 Days","Known Error","Monitoring","Restart pipeline","No","Payment Service","Database","17703.0","No","Auto generated sample comment"
"INC10098","API latency alert","1 - Critical","Payment Service","46085.38958333333","Auto generated incident for monitoring/testing dataset","Priya M","Integration Team","Resolved","46085.68472222222","PRB20098","Data","Jobs","Error Message","Monitoring System","Issue resolved after investigation","Logs checked and remediation performed","Phone","0.0","0-5 Days","No resolution provided","Monitoring","Reset password","Yes","Data Pipeline","User Action","9792.0","No","Auto generated sample comment"
"INC10099","Email delay","1 - Critical","Customer Portal","46088.854166666664","Auto generated incident for monitoring/testing dataset","Meena R","App Support","Resolved","46089.00763888889","PRB20099","Integration","Messaging","Crash","PagerDuty","Issue resolved after investigation","Logs checked and remediation performed","Monitoring","3.0","0-5 Days","Known Error","Resolved by Troubleshooting","Restart service","Yes","Notification Service","Queue","5959.0","No","Auto generated sample comment"
